id,state,abbr,excellent,fair,good,poor,very_good,us_disability,correlation,,,,
1,Alabama,AL,16.8,15.7,15.7,7.3,27.9,16.3,-0.625192928,0.703955645,0.703955645,0.701676372,-0.613182335
2,Alaska,AK,21.1,9.6,9.6,3.8,35.2,11.2,,,,,
3,Arizona,AZ,19.2,14.6,14.6,4.5,31.4,12.8,,,,,
4,Arkansas,AR,15.3,16,16,7.5,28.7,16.9,,,,,
5,California,CA,20.5,13.5,13.5,4.6,31.5,10.6,,,,,
6,Colorado,CO,21.2,10.1,10.1,3.1,36.2,10.7,,,,,
7,Connecticut,CT,23.4,11.3,11.3,3,34.8,11,,,,,
8,Delaware,DE,18.9,12.1,12.1,3.5,32.6,11.9,,,,,
9,District of Columbia,DC,26,9.4,9.4,3.5,36,11.7,,,,,
10,Florida,FL,20.7,14.2,14.2,5.1,28.8,13.4,,,,,
11,Georgia,GA,19,13.1,13.1,5.7,30.6,12.4,,,,,
12,Hawaii,HI,20.6,11.2,11.2,3.3,28.8,11.7,,,,,
13,Idaho,ID,20.7,9.4,9.4,3.7,36.4,12.7,,,,,
14,Illinois,IL,18.5,13.6,13.6,3.8,31.8,10.9,,,,,
15,Indiana,IN,15.6,13.4,13.4,5.5,30.7,13.9,,,,,
16,Iowa,IA,18.5,10.4,10.4,3.2,36.8,11.5,,,,,
17,Kansas,KS,18.6,11.7,11.7,3.8,34.8,12.9,,,,,
18,Kentucky,KY,15.5,15.9,15.9,8.4,29.4,17.6,,,,,
19,Louisiana,LA,19.1,14.8,14.8,6.9,28.7,14.8,,,,,
20,Maine,ME,18.9,10.9,10.9,4.2,37.1,16.1,,,,,
21,Maryland,MD,21.4,11.5,11.5,2.7,34.6,10.6,,,,,
22,Massachusetts,MA,24,10.5,10.5,4,34.5,11.6,,,,,
23,Michigan,MI,15.6,11.8,11.8,5,34.8,14.4,,,,,
24,Minnesota,MN,20.2,9.3,9.3,2.7,37.5,10.8,,,,,
25,Mississippi,MS,16,14.5,14.5,7.5,28.3,16.5,,,,,
26,Missouri,MO,18,11.9,11.9,5,34,14.7,,,,,
27,Montana,MT,20.2,11.1,11.1,4.3,34.3,13.2,,,,,
28,Nebraska,NE,19.3,9.9,9.9,3.3,36.5,11.5,,,,,
29,Nevada,NV,18.6,13.8,13.8,4.7,29.1,13.4,,,,,
30,New Hampshire,NH,21.1,9.8,9.8,3.9,38.9,12.2,,,,,
31,New Jersey,NJ,20.5,13.2,13.2,3.7,32.1,10.5,,,,,
32,New Mexico,NM,17.4,14.5,14.5,6.2,27.9,14.7,,,,,
33,New York,NY,19.9,12.3,12.3,4.9,31.2,11.5,,,,,
34,North Carolina,NC,19,13.5,13.5,5.5,31.7,13.8,,,,,
35,North Dakota,ND,17.9,11,11,3.1,36.9,10.6,,,,,
36,Ohio,OH,18.2,13.1,13.1,4.8,32.4,13.9,,,,,
37,Oklahoma,OK,16.3,14.1,14.1,6.4,30.6,16.1,,,,,
38,Oregon,OR,20.4,11.1,11.1,4.6,33.7,15.2,,,,,
39,Pennsylvania,PA,18.7,12.7,12.7,4.4,34.2,13.8,,,,,
40,Rhode Island,RI,18.9,11.7,11.7,3.5,36.8,14,,,,,
41,South Carolina,SC,17.7,13.4,13.4,6.4,32,14.8,,,,,
42,South Dakota,SD,19,10.6,10.6,3.4,36.9,12.1,,,,,
43,Tennessee,TN,16.5,16.2,16.2,7.6,29.9,15.7,,,,,
44,Texas,TX,18.1,14.2,14.2,5.3,28,11.7,,,,,
45,Utah,UT,22.9,9,9,3.1,35.5,9.6,,,,,
46,Vermont,VT,20.9,8.7,8.7,3,38.8,14.8,,,,,
47,Virginia,VA,20.2,12.2,12.2,4.7,34.3,11.5,,,,,
48,Washington,WA,17.9,12.2,12.2,3.8,35.3,13,,,,,
49,West Virginia,WV,13.5,16.7,16.7,9.1,28.2,19.9,,,,,
50,Wisconsin,WI,18,11.3,11.3,4.2,36.1,11.9,,,,,
51,Wyoming,WY,22.2,10.2,10.2,3.5,33.7,12.4,,,,,
52,Puerto Rico,PR,18.6,31.4,31.4,4.1,12.4,21.3,,,,,
